0.414584 0.409186
0.409475 0.423800
0.414072 0.409186
0.403825 0.415449
0.414978 0.405010
0.422104 0.371608
0.399173 0.425887
0.421725 0.423800
0.397741 0.396660
0.422575 0.432150
0.411549 0.409186
0.420315 0.432150
0.411614 0.392484
0.415009 0.409186
0.420527 0.369520
0.395121 0.373695
0.437103 0.411273
0.431337 0.400835
0.418277 0.390397
0.430718 0.394572
0.433030 0.409186
0.414275 0.400835
0.412313 0.373695
0.404499 0.421712
0.408699 0.440501
0.430807 0.382046
0.409555 0.453027
0.418950 0.398747
0.425311 0.402923
0.436316 0.432150
0.403595 0.398747
0.415770 0.390397
0.444654 0.363257
0.404210 0.446764
0.413487 0.415449
0.408359 0.400835
0.429130 0.398747
0.431587 0.350731
0.433095 0.411273
0.415350 0.427975
0.437893 0.407098
0.421102 0.394572
0.414864 0.434238
0.425907 0.392484
0.431135 0.396660
0.440587 0.421712
0.421098 0.402923
0.414281 0.427975
0.400608 0.409186
0.417100 0.398747
0.411116 0.461378
0.444847 0.402923
0.409110 0.430063
0.416298 0.371608
0.418954 0.394572
0.415029 0.392484
0.423303 0.407098
0.408655 0.373695
0.423229 0.409186
0.424803 0.392484
0.398684 0.427975
0.403838 0.421712
0.407814 0.382046
0.395404 0.423800
0.418816 0.405010
0.412602 0.405010
0.405363 0.398747
0.431776 0.411273
0.395646 0.379958
0.407601 0.402923
0.416628 0.413361
0.408486 0.402923
0.408471 0.427975
0.422202 0.390397
0.418264 0.377871
0.425304 0.396660
0.414300 0.430063
0.397106 0.436326
0.402226 0.390397
0.405349 0.413361
0.427689 0.427975
0.423375 0.396660
0.420439 0.419624
0.416205 0.382046
0.438015 0.430063
0.401472 0.352818
0.429064 0.405010
0.408347 0.379958
0.413712 0.457203
0.425722 0.421712
0.428953 0.400835
0.413835 0.423800
0.413588 0.434238
0.412376 0.405010
0.410410 0.402923
0.418611 0.386221
0.396201 0.450939
0.406001 0.409186
0.429708 0.398747
0.420057 0.409186
